Name,Usage [%],,,,,,
Aegislash ,13.4,,,,,,
Cinderace ,14.6,,,,,,
Cloyster,13.6,,,,,,
Conkeldurr,2.7,,,,,,
Corsola-Galar,2.3,,,,,,
Corviknight,28.2,,,,,,
Darmanitan-Galar,18.7,,,,,,
Diggersby,4.6,,,,,,
Dracovish,6,,,,,,
Dragapult,43.3,,,,,,
Durant,7.4,,,,,,
Eiscue,1.1,,,,,,
Excadrill,31.7,,,,,,
Ferrothorn,8.6,,,,,,
Gyarados,16.6,,,,,,
Heatmor,0,,,,,,
Hippowdon,15.4,,,,,,
Hydreigon,26.7,,,,,,
Mimikyu,46.9,,,,,,
Mr. Rime,0,,,,,,
Rotom-Wash,18.6,,,,,,
Snorlax,17.7,,,,,,
Sylveon,12.8,,,,,,
Togekiss,28.9,,,,,,
Toxapex,10.6,,,,,,
Tyranitar,11.2,,,,,,
Dracozolt,9.6,,,,,,
Gastrodon,6.1,,,,,,
Lapras,6.1,,,,,,
Mamoswine,1.6,,,,,,
Rotom-Heat,10.5,,,,,,
