Index,Name,Type,Boost
0,Aegislash,Tank,
1,Cinderace,Sweeper,
2,Cloyster,Tank,Yes
3,Conkeldurr,Tank,
4,Corsola-Galar,Wall,
5,Corviknight,Wall,
6,Corviknight,Wall,
7,Darmanitan-Galar,Tank,
8,Darmanitan-Galar,Tank,
9,Diggersby,Tank,Yes
10,Dracovish,Tank,
11,Dracozolt,Tank,
12,Dragapult,Sweeper,
13,Dragapult,Sweeper,
14,Dragapult,Sweeper,
15,Durant,Sweeper,
16,Eiscue,Tank,Yes
17,Excadrill,Sweeper,Yes
18,Excadrill,Sweeper,Yes
19,Ferrothorn,Wall,
20,Gastrodon,Wall,
21,Gigalith,Tank,
22,Grimmsnarl,Tank,
23,Gyarados,Tank,Yes
24,Gyarados,Tank,Yes
25,Hawlucha,Sweeper,Yes
26,Heatmor,Tank,
27,Heatmor,Tank,
28,Hippowdon,Tank,
29,Hydreigon,Sweeper,
30,Lapras,Tank,
31,Ludicolo,Tank,
32,Mamoswine,Tank,
33,Mimikyu,Sweeper,Yes
34,Mr. Rime,Tank,
35,Rotom-Heat,Tank,
36,Rotom-Mow,Tank,
37,Rotom-Wash,Tank,
38,Rotom-Wash,Tank,
39,Snorlax,Tank,
40,Snorlax,Tank,
41,Sylveon,Tank,
42,Togekiss,Tank,Yes
43,Toxapex,Wall,
44,Tyranitar,Tank,
